28 sept. 2020 à 11:58:04
RngSeed: 1601287081307
BirthTreshold: 20
GrassEnergy: 5.0
GrassGrowthRate: 50
GridSize: 20
NumInitGrass: 100
NumInitRabbits: 30

"tick", "Number of grass tile", "Number of rabbits"
241.0, 26.0, 296.0
242.0, 23.0, 291.0
243.0, 22.0, 292.0
244.0, 21.0, 295.0
245.0, 16.0, 299.0
245.0, 16.0, 299.0
246.0, 17.0, 299.0
247.0, 24.0, 295.0
248.0, 26.0, 299.0
249.0, 20.0, 297.0
250.0, 20.0, 297.0
250.0, 29.0, 295.0
251.0, 29.0, 292.0
252.0, 21.0, 292.0
253.0, 20.0, 296.0
254.0, 16.0, 296.0
255.0, 16.0, 296.0
255.0, 19.0, 295.0
256.0, 20.0, 290.0
257.0, 21.0, 293.0
258.0, 16.0, 293.0
259.0, 18.0, 293.0
260.0, 18.0, 293.0
260.0, 18.0, 293.0
261.0, 22.0, 287.0
262.0, 26.0, 286.0
263.0, 16.0, 289.0
264.0, 21.0, 287.0
265.0, 21.0, 287.0
265.0, 27.0, 289.0
266.0, 24.0, 294.0
267.0, 21.0, 298.0
268.0, 21.0, 296.0
269.0, 18.0, 292.0
270.0, 18.0, 292.0
270.0, 21.0, 286.0
271.0, 22.0, 280.0
272.0, 27.0, 281.0
273.0, 27.0, 278.0
274.0, 25.0, 278.0
275.0, 26.0, 281.0
275.0, 26.0, 281.0
276.0, 24.0, 284.0
277.0, 23.0, 288.0
278.0, 25.0, 285.0
279.0, 23.0, 292.0
280.0, 23.0, 292.0
280.0, 24.0, 291.0
281.0, 16.0, 296.0
282.0, 20.0, 291.0
283.0, 19.0, 294.0
284.0, 17.0, 293.0
285.0, 24.0, 297.0
285.0, 24.0, 297.0
286.0, 23.0, 299.0
287.0, 24.0, 297.0
288.0, 21.0, 298.0
289.0, 23.0, 297.0
290.0, 23.0, 297.0
290.0, 22.0, 293.0
291.0, 25.0, 296.0
292.0, 20.0, 301.0
293.0, 20.0, 308.0
294.0, 20.0, 305.0
295.0, 22.0, 304.0
295.0, 22.0, 304.0
296.0, 15.0, 308.0
297.0, 19.0, 304.0
298.0, 18.0, 296.0
299.0, 22.0, 293.0
300.0, 26.0, 294.0
300.0, 26.0, 294.0
301.0, 21.0, 290.0
302.0, 22.0, 293.0
303.0, 24.0, 298.0
304.0, 21.0, 299.0
305.0, 15.0, 294.0
305.0, 15.0, 294.0
306.0, 12.0, 295.0
307.0, 17.0, 298.0
308.0, 23.0, 304.0
309.0, 28.0, 302.0
310.0, 25.0, 304.0
310.0, 25.0, 304.0
311.0, 16.0, 307.0
312.0, 20.0, 309.0
313.0, 17.0, 314.0
314.0, 13.0, 315.0
315.0, 12.0, 316.0
315.0, 12.0, 316.0
316.0, 19.0, 313.0
317.0, 16.0, 313.0
318.0, 14.0, 313.0
319.0, 14.0, 312.0
320.0, 14.0, 312.0
320.0, 11.0, 308.0
321.0, 15.0, 309.0
322.0, 21.0, 307.0
323.0, 17.0, 310.0
324.0, 14.0, 308.0
325.0, 16.0, 308.0
325.0, 16.0, 308.0
326.0, 16.0, 314.0
327.0, 13.0, 310.0
328.0, 15.0, 308.0
329.0, 15.0, 302.0
330.0, 14.0, 298.0
330.0, 14.0, 298.0
331.0, 20.0, 297.0
332.0, 22.0, 296.0
333.0, 16.0, 299.0
334.0, 18.0, 296.0
335.0, 18.0, 296.0
335.0, 21.0, 293.0
336.0, 21.0, 293.0
337.0, 21.0, 295.0
338.0, 15.0, 298.0
339.0, 19.0, 296.0
340.0, 19.0, 293.0
340.0, 19.0, 293.0
341.0, 21.0, 296.0
342.0, 22.0, 296.0
343.0, 23.0, 294.0
344.0, 23.0, 295.0
345.0, 19.0, 293.0
