28 sept. 2020 13:40:49
RngSeed: 1601293247328
BirthTreshold: 20
GrassEnergy: 5.0
GrassGrowthRate: 50
GridSize: 20
NumInitGrass: 100
NumInitRabbits: 30

"tick", "Number of grass tile", "Number of rabbits"
285.0, 38.0, 246.0
286.0, 40.0, 245.0
287.0, 40.0, 239.0
288.0, 47.0, 240.0
289.0, 46.0, 232.0
290.0, 46.0, 232.0
290.0, 39.0, 231.0
291.0, 43.0, 231.0
292.0, 44.0, 228.0
293.0, 48.0, 230.0
294.0, 55.0, 231.0
295.0, 49.0, 225.0
295.0, 49.0, 225.0
296.0, 43.0, 225.0
297.0, 39.0, 226.0
298.0, 39.0, 227.0
299.0, 44.0, 228.0
300.0, 47.0, 226.0
300.0, 47.0, 226.0
301.0, 54.0, 226.0
302.0, 53.0, 223.0
303.0, 48.0, 224.0
304.0, 48.0, 225.0
305.0, 51.0, 229.0
305.0, 51.0, 229.0
306.0, 44.0, 229.0
307.0, 47.0, 233.0
308.0, 45.0, 233.0
309.0, 45.0, 242.0
310.0, 44.0, 238.0
310.0, 44.0, 238.0
311.0, 42.0, 242.0
312.0, 40.0, 238.0
313.0, 43.0, 235.0
314.0, 39.0, 238.0
315.0, 35.0, 241.0
315.0, 35.0, 241.0
316.0, 43.0, 242.0
317.0, 41.0, 241.0
318.0, 47.0, 236.0
319.0, 52.0, 240.0
320.0, 52.0, 240.0
320.0, 50.0, 237.0
321.0, 52.0, 231.0
322.0, 44.0, 232.0
323.0, 44.0, 231.0
324.0, 47.0, 236.0
325.0, 43.0, 235.0
325.0, 43.0, 235.0
326.0, 41.0, 233.0
327.0, 31.0, 236.0
328.0, 40.0, 235.0
329.0, 44.0, 234.0
330.0, 43.0, 235.0
330.0, 43.0, 235.0
331.0, 40.0, 235.0
332.0, 45.0, 237.0
333.0, 36.0, 234.0
334.0, 34.0, 239.0
335.0, 34.0, 239.0
335.0, 33.0, 242.0
336.0, 41.0, 242.0
337.0, 42.0, 239.0
338.0, 47.0, 232.0
339.0, 40.0, 236.0
340.0, 40.0, 231.0
340.0, 40.0, 231.0
341.0, 49.0, 225.0
342.0, 39.0, 232.0
343.0, 37.0, 230.0
344.0, 41.0, 231.0
345.0, 42.0, 232.0
345.0, 42.0, 232.0
346.0, 40.0, 230.0
347.0, 37.0, 233.0
348.0, 43.0, 230.0
349.0, 42.0, 230.0
350.0, 42.0, 230.0
350.0, 42.0, 237.0
351.0, 40.0, 235.0
352.0, 38.0, 244.0
353.0, 38.0, 242.0
354.0, 42.0, 244.0
355.0, 42.0, 244.0
355.0, 37.0, 246.0
356.0, 33.0, 249.0
357.0, 34.0, 247.0
358.0, 30.0, 245.0
359.0, 38.0, 244.0
360.0, 38.0, 244.0
360.0, 41.0, 240.0
361.0, 49.0, 237.0
362.0, 52.0, 233.0
363.0, 44.0, 231.0
364.0, 49.0, 232.0
365.0, 49.0, 232.0
365.0, 42.0, 237.0
366.0, 41.0, 235.0
367.0, 47.0, 240.0
368.0, 47.0, 244.0
369.0, 48.0, 239.0
370.0, 48.0, 239.0
370.0, 54.0, 236.0
371.0, 53.0, 231.0
372.0, 42.0, 227.0
373.0, 49.0, 230.0
374.0, 49.0, 223.0
375.0, 47.0, 222.0
375.0, 47.0, 222.0
376.0, 53.0, 223.0
377.0, 50.0, 224.0
378.0, 46.0, 225.0
379.0, 48.0, 224.0
380.0, 42.0, 225.0
380.0, 42.0, 225.0
381.0, 50.0, 228.0
382.0, 47.0, 231.0
383.0, 49.0, 232.0
384.0, 46.0, 231.0
385.0, 46.0, 231.0
385.0, 42.0, 231.0
386.0, 44.0, 226.0
387.0, 52.0, 225.0
